No.,FREQUENCY(MHz),Z,D,Cs
583,9.2461,3.27002,0.09651,0.000000005288
584,9.3183,3.2329,0.09755,0.000000005308
585,9.3910,3.19656,0.09864,0.000000005328
586,9.4644,3.16023,0.09977,0.000000005348
587,9.5383,3.12368,0.10105,0.000000005369
588,9.6128,3.08757,0.10209,0.00000000539
589,9.6878,3.05203,0.10326,0.000000005411
590,9.7635,3.0164,0.10456,0.000000005434
591,9.8397,2.9801,0.1057,0.000000005458
592,9.9165,2.9450,0.10694,0.000000005481
593,9.9940,2.91012,0.10823,0.000000005504
594,10.0720,2.87459,0.1096,0.00000000553
595,10.1510,2.83993,0.11094,0.000000005555
596,10.2300,2.80583,0.11234,0.00000000558
597,10.3100,2.77143,0.11375,0.000000005606
598,10.3900,2.73704,0.11538,0.000000005634
599,10.4710,2.70299,0.11662,0.000000005661
600,10.5530,2.66951,0.11826,0.000000005689
601,10.6360,2.63521,0.11978,0.000000005719
602,10.7190,2.60144,0.12143,0.00000000575
603,10.8020,2.56874,0.12285,0.000000005779
604,10.8870,2.53518,0.1246,0.000000005811
605,10.9720,2.50195,0.12624,0.000000005844
606,11.0570,2.46952,0.12791,0.000000005876
607,11.1440,2.43655,0.12958,0.00000000591
608,11.2310,2.40455,0.13125,0.000000005944
609,11.3180,2.3721,0.13331,0.000000005981
610,11.4070,2.33936,0.13523,0.000000006018
611,11.4960,2.30769,0.13703,0.000000006055
612,11.5860,2.2757,0.13913,0.000000006094
613,11.6760,2.24403,0.1410,0.000000006134
614,11.7670,2.21261,0.14313,0.000000006175
615,11.8590,2.18085,0.14523,0.000000006218
616,11.9520,2.14937,0.14743,0.000000006262
617,12.0450,2.11829,0.14963,0.000000006307
618,12.1390,2.08717,0.1518,0.000000006354
619,12.2340,2.05581,0.15422,0.000000006403
620,12.3290,2.02506,0.15683,0.000000006453
621,12.4260,1.9941,0.15917,0.000000006504
622,12.5230,1.96375,0.1619,0.000000006556
623,12.6200,1.93351,0.16448,0.00000000661
624,12.7190,1.90304,0.16733,0.000000006667
625,12.8180,1.87269,0.17011,0.000000006726
626,12.9180,1.84272,0.17288,0.000000006785
627,13.0190,1.81261,0.1762,0.000000006848
