No.,FREQUENCY(MHz),Z,D,PH
582,9.1745,0.81622,1.12711,41.5800
583,9.2461,0.82543,1.09339,42.4460
584,9.3183,0.83509,1.05942,43.3470
585,9.3910,0.84504,1.02702,44.2360
586,9.4644,0.85484,0.99846,45.0440
587,9.5383,0.86599,0.96943,45.8890
588,9.6128,0.87655,0.94172,46.7190
589,9.6878,0.88708,0.9153,47.5320
590,9.7635,0.89871,0.89218,48.2610
591,9.8397,0.90945,0.86893,49.0120
592,9.9165,0.92143,0.84674,49.7440
593,9.9940,0.93316,0.82557,50.4580
594,10.0720,0.94488,0.80464,51.1780
595,10.1510,0.95701,0.78488,51.8720
596,10.2300,0.96961,0.76635,52.5350
597,10.3100,0.98222,0.74805,53.2020
598,10.3900,0.99514,0.73133,53.8210
599,10.4710,1.00706,0.71475,54.4450
600,10.5530,1.02046,0.69798,55.0860
601,10.6360,1.03418,0.68281,55.6740
602,10.7190,1.04689,0.66846,56.2390
603,10.8020,1.06094,0.65374,56.8260
604,10.8870,1.07473,0.64002,57.3800
